Date,Open,High,Low,Close,Adj Close,Volume
2020-10-09,0.610000,0.620000,0.590000,0.610000,0.610000,4604400
2020-10-12,0.610000,0.610000,0.590000,0.600000,0.600000,6371300
2020-10-13,0.600000,0.600000,0.590000,0.590000,0.590000,3326100
2020-10-14,0.590000,0.600000,0.590000,0.590000,0.590000,2419700
2020-10-15,0.590000,0.590000,0.570000,0.580000,0.580000,5085800
2020-10-16,0.590000,0.590000,0.570000,0.570000,0.570000,2516200
2020-10-19,0.570000,0.570000,0.550000,0.560000,0.560000,2803900
2020-10-20,0.560000,0.570000,0.540000,0.550000,0.550000,2825300
2020-10-21,0.550000,0.550000,0.520000,0.530000,0.530000,3405100
2020-10-22,0.530000,0.550000,0.490000,0.540000,0.540000,3736700
2020-10-23,0.540000,0.540000,0.520000,0.540000,0.540000,1344800
2020-10-26,0.540000,0.560000,0.530000,0.540000,0.540000,4181600
2020-10-27,0.550000,0.550000,0.520000,0.530000,0.530000,1907900
2020-10-28,0.520000,0.520000,0.490000,0.510000,0.510000,2707200
2020-10-29,0.510000,0.530000,0.500000,0.520000,0.520000,3353100
2020-10-30,0.510000,0.520000,0.480000,0.490000,0.490000,4069500
2020-11-02,0.490000,0.510000,0.490000,0.500000,0.500000,2506600
2020-11-03,0.500000,0.520000,0.500000,0.510000,0.510000,2575000
2020-11-04,0.500000,0.510000,0.490000,0.490000,0.490000,2958200
2020-11-05,0.500000,0.500000,0.490000,0.500000,0.500000,1969000
2020-11-06,0.500000,0.500000,0.470000,0.480000,0.480000,4012200
2020-11-09,0.490000,0.520000,0.480000,0.500000,0.500000,4085800
2020-11-10,0.500000,0.530000,0.490000,0.530000,0.530000,3940900
2020-11-11,0.540000,0.560000,0.530000,0.560000,0.560000,4534900
2020-11-12,0.610000,0.640000,0.560000,0.570000,0.570000,11008300
2020-11-13,0.510000,0.540000,0.500000,0.520000,0.520000,6200400
2020-11-16,0.500000,0.520000,0.500000,0.500000,0.500000,3491500
2020-11-17,0.510000,0.550000,0.510000,0.530000,0.530000,4505400
2020-11-18,0.530000,0.550000,0.510000,0.510000,0.510000,3132700
2020-11-19,0.510000,0.520000,0.500000,0.510000,0.510000,2985600
2020-11-20,0.510000,0.530000,0.500000,0.520000,0.520000,5537300
2020-11-23,0.520000,0.520000,0.500000,0.500000,0.500000,5413000
2020-11-24,0.500000,0.510000,0.490000,0.490000,0.490000,5613300
2020-11-25,0.490000,0.500000,0.490000,0.490000,0.490000,4187200
2020-11-27,0.500000,0.500000,0.480000,0.490000,0.490000,2903500
2020-11-30,0.480000,0.490000,0.480000,0.490000,0.490000,4881100
2020-12-01,0.490000,0.530000,0.490000,0.500000,0.500000,16671300
2020-12-02,0.510000,0.510000,0.490000,0.490000,0.490000,8500100
2020-12-03,0.500000,0.510000,0.490000,0.500000,0.500000,4796100
2020-12-04,0.500000,0.500000,0.490000,0.500000,0.500000,3919500
2020-12-07,0.500000,0.550000,0.500000,0.530000,0.530000,10262500
2020-12-08,0.540000,0.540000,0.510000,0.520000,0.520000,4244200
2020-12-09,0.520000,0.540000,0.500000,0.510000,0.510000,6143900
2020-12-10,0.500000,0.510000,0.490000,0.500000,0.500000,5902100
2020-12-11,0.500000,0.510000,0.490000,0.500000,0.500000,4403600
2020-12-14,0.500000,0.510000,0.500000,0.500000,0.500000,3792900
2020-12-15,0.500000,0.520000,0.500000,0.510000,0.510000,5511900
2020-12-16,0.510000,0.520000,0.490000,0.510000,0.510000,4934100
2020-12-17,0.510000,0.540000,0.500000,0.530000,0.530000,8449200
2020-12-18,0.530000,0.550000,0.520000,0.540000,0.540000,8845100
2020-12-21,0.580000,0.590000,0.550000,0.560000,0.560000,15022500
2020-12-22,0.550000,0.560000,0.520000,0.550000,0.550000,8570700
2020-12-23,0.570000,0.820000,0.560000,0.780000,0.780000,86868500
2020-12-24,0.750000,0.750000,0.660000,0.710000,0.710000,14085100
